metro,state,LAT,LON,BOV_1995,BOV_1996,BOV_1997,BOV_1998,BOV_1999,BOV_2000,BOV_2001,BOV_2002,BOV_2003,BOV_2004,BOV_2005,BOV_2006,BOV_2007,BOV_2008,BOV_2009,BOV_2010,BOV_2011,BOV_2012,BOV_2013,BOV_2014,BOV_2015,EQ_1995,EQ_1996,EQ_1997,EQ_1998,EQ_1999,EQ_2000,EQ_2001,EQ_2002,EQ_2003,EQ_2004,EQ_2005,EQ_2006,EQ_2007,EQ_2008,EQ_2009,EQ_2010,EQ_2011,EQ_2012,EQ_2013,EQ_2014,EQ_2015,ACC_1995,ACC_1996,ACC_1997,ACC_1998,ACC_1999,ACC_2000,ACC_2001,ACC_2002,ACC_2003,ACC_2004,ACC_2005,ACC_2006,ACC_2007,ACC_2008,ACC_2009,ACC_2010,ACC_2011,ACC_2012,ACC_2013,ACC_2014,ACC_2015,OV_1995,OV_1996,OV_1997,OV_1998,OV_1999,OV_2000,OV_2001,OV_2002,OV_2003,OV_2004,OV_2005,OV_2006,OV_2007,OV_2008,OV_2009,OV_2010,OV_2011,OV_2012,OV_2013,OV_2014,OV_2015,CAP_1995,CAP_1996,CAP_1997,CAP_1998,CAP_1999,CAP_2000,CAP_2001,CAP_2002,CAP_2003,CAP_2004,CAP_2005,CAP_2006,CAP_2007,CAP_2008,CAP_2009,CAP_2010,CAP_2011,CAP_2012,CAP_2013,CAP_2014,CAP_2015,AV_1995,AV_1996,AV_1997,AV_1998,AV_1999,AV_2000,AV_2001,AV_2002,AV_2003,AV_2004,AV_2005,AV_2006,AV_2007,AV_2008,AV_2009,AV_2010,AV_2011,AV_2012,AV_2013,AV_2014,AV_2015,POR_1995,POR_1996,POR_1997,POR_1998,POR_1999,POR_2000,POR_2001,POR_2002,POR_2003,POR_2004,POR_2005,POR_2006,POR_2007,POR_2008,POR_2009,POR_2010,POR_2011,POR_2012,POR_2013,POR_2014,POR_2015,FEL_1995,FEL_1996,FEL_1997,FEL_1998,FEL_1999,FEL_2000,FEL_2001,FEL_2002,FEL_2003,FEL_2004,FEL_2005,FEL_2006,FEL_2007,FEL_2008,FEL_2009,FEL_2010,FEL_2011,FEL_2012,FEL_2013,FEL_2014,FEL_2015,CAN_1995,CAN_1996,CAN_1997,CAN_1998,CAN_1999,CAN_2000,CAN_2001,CAN_2002,CAN_2003,CAN_2004,CAN_2005,CAN_2006,CAN_2007,CAN_2008,CAN_2009,CAN_2010,CAN_2011,CAN_2012,CAN_2013,CAN_2014,CAN_2015,WIL_2009,WIL_2010,WIL_2011,WIL_2012,WIL_2013,WIL_2014,WIL_2015,MIS_1995,MIS_1996,MIS_1997,MIS_1998,MIS_1999,MIS_2000,MIS_2001,MIS_2002,MIS_2003,MIS_2004,MIS_2005,MIS_2006,MIS_2007,MIS_2008,MIS_2009,MIS_2010,MIS_2011,MIS_2012,MIS_2013,MIS_2014,MIS_2015,TOT_1995,TOT_1996,TOT_1997,TOT_1998,TOT_1999,TOT_2000,TOT_2001,TOT_2002,TOT_2003,TOT_2004,TOT_2005,TOT_2006,TOT_2007,TOT_2008,TOT_2009,TOT_2010,TOT_2011,TOT_2012,TOT_2013,TOT_2014,TOT_2015
Montgomery,KY,38.031458,-83.889706,89,74,64,49,58,72,70,55,60,29,35,26,31,25,12,19,228,14,124,16,117,582,609,636,518,695,667,585,1014,1175,1002,997,967,702,355,741,842,949,304,444,405,63,754,854,872,716,901,848,784,1206,1369,1160,1147,1118,846,490,425,401,345,193,194,164,184,5,4,4,4,2,5,6,6,6,6,7,9,10,19,20,162,11,2,1,4,3,1,2,7,7,6,13,13,30,37,14,8,5,4,1,2,2,2,,1,,1,3,1,8,,2,3,6,1,1,3,1,1,,,1,2,,,,,,,,,,,,2,3,4,2,,,,,,,,,,1,,10,33,34,23,13,10,11,15,11,11,10,21,14,20,15,18,12,11,16,12,15,59,124,112,106,113,76,84,75,74,86,82,80,82,64,55,83,75,65,117,47,78,1,,1,1,,,,5,10,8,10,13,5,8,7,1,7,7,9,3,6,5,1,,,1,1,,754,857,873,717,902,851,785,1206,1369,1160,1147,1118,846,490,852,1129,1278,397,704,486,277
Morgan,KY,37.914571,-83.293409,34,22,14,4,8,9,13,16,14,22,28,36,28,24,30,92,45,44,28,52,28,549,537,635,567,696,788,1117,1115,1122,1336,1239,973,906,716,97,22,47,38,63,12,16,662,651,739,661,796,881,1196,1200,1224,1470,1362,1134,1055,810,216,205,162,164,171,194,198,,,1,,,1,,,,,,2,2,,1,,1,,1,,,7,2,3,3,1,10,4,12,15,14,9,17,5,5,2,2,1,3,,9,4,7,3,2,4,7,1,4,2,3,4,3,3,2,1,1,,,,2,2,,3,1,2,,,2,3,,,,,1,1,,,2,,,,1,,8,10,5,17,13,6,6,4,8,5,8,12,12,5,11,16,8,7,8,9,15,61,75,77,58,68,60,49,43,52,81,70,77,90,45,65,128,85,97,91,112,140,6,2,1,,1,2,3,,1,3,8,4,4,2,8,10,8,5,14,9,14,4,5,,1,2,1,,669,651,742,661,797,881,1198,1200,1224,1470,1362,1135,1055,811,217,269,188,190,196,200,206
Muhlenberg,KY,37.17725,-87.14229,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,484,453,352,88,65,30,0,0,7,0,1,0,0,0,,,22,32,58,55,57,523,517,417,135,98,31,5,3,8,0,1,0,0,0,0,2,22,33,58,55,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,12,4,2,1,5,1,,,,,,,,,,,,,,2,7,7,5,7,,,,,,,,,,,,,,,,,30,52,51,38,23,,,,1,,,,,,,2,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,523,517,422,135,98,31,5,3,8,,1,,,,,2,22,32,58,55,57
Nelson,KY,37.764745,-85.478807,121,94,76,65,49,26,40,29,18,28,15,6,13,9,5,14,13,3,53,30,22,515,504,577,496,531,470,446,517,499,476,585,239,151,142,72,61,42,9,7,4,9,786,734,806,741,707,542,514,592,543,520,616,257,201,187,115,112,98,76,73,58,76,,1,,,1,,,1,1,,,,,,,,,,,,3,3,4,1,,,1,5,2,4,2,5,,1,,1,,,,,,10,6,2,,5,2,,,2,,1,2,1,,,2,1,,,2,,1,36,24,47,34,14,20,10,4,,4,1,1,3,,1,,,,,1,1,16,20,19,27,25,3,3,2,2,,1,1,5,7,9,4,3,7,5,3,3,81,88,92,115,85,21,11,35,17,9,6,9,25,29,20,26,44,51,46,29,29,,,,,,,,8,3,2,6,1,1,,,2,1,1,,3,,3,3,1,1,,,4,786,740,814,748,708,542,515,592,543,521,616,257,201,187,113,109,103,71,113,67,82
Nicholas,KY,38.376763,-84.059029,24,96,75,24,3,2,40,31,43,52,75,78,93,98,1233,1206,470,3510,2739,631,807,30,64,35,12,0,0,8,4,5,9,5,34,28,12,3,8,1,24,35,525,575,57,164,110,40,7,7,50,36,51,62,85,114,124,111,77,74,84,190,197,151,240,,1,,1,2,,,,,,2,1,,,,,,,,1,2,,,,,,,,,,,,,3,,2,,,3,3,,4,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,1,,,,,,1,,,,,,1,1,2,,2,2,,,1,,1,,,,,,1,,1,,,3,,,,,3,,1,1,1,1,1,,4,,,3,,2,1,1,,2,3,,4,,1,,57,165,111,40,7,7,50,36,52,62,85,114,125,111,1242,1218,471,3542,2780,1158,1393
Ohio,KY,37.510852,-86.822034,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,288,305,287,0,0,0,0,0,0,0,0,0,0,487,547,483,464,369,280,324,237,289,305,288,2,3,1,2,1,0,0,0,0,0,496,550,486,497,371,283,327,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,7,1,2,28,1,3,3,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,289,305,288,2,3,1,2,1,,,,,,496,550,486,500,370,283,327,237
Oldham,KY,38.356003,-85.478807,3,8,8,8,19,21,10,6,5,10,1,3,8,6,4,,6,1,2,20,5,417,464,613,655,738,632,579,618,775,860,896,980,930,950,942,1559,1570,1271,957,883,829,503,557,722,733,812,695,653,667,842,932,938,1017,960,1006,873,1225,1220,932,805,706,611,,,,,,,,,1,1,,,,,,,,,,1,,1,2,,,5,,,,,,,,1,,,,,,,,,,,2,,,,13,,,2,1,,1,,1,1,,,,1,3,5,3,12,14,3,19,2,,,,,,,,,,,,,,,14,9,20,12,7,3,9,12,8,9,4,6,4,7,10,16,13,12,16,7,12,58,67,64,42,40,21,41,38,59,51,43,29,16,41,41,57,44,53,43,47,55,,1,,,1,,,6,7,6,4,,4,2,2,4,,6,2,1,2,,2,1,2,2,2,1,504,560,725,735,812,700,656,676,852,933,951,1020,961,1006,998,1636,1634,1339,1021,961,905
Owen,KY,38.496526,-84.815078,41,45,39,35,43,28,21,23,14,16,19,10,17,12,6,3,4,7,4,8,12,154,123,186,157,174,168,195,187,179,184,150,96,100,76,107,106,94,408,422,468,377,215,200,253,216,238,227,243,252,231,224,195,114,124,96,121,117,113,153,105,128,161,1,7,,,6,2,6,5,9,1,1,1,1,,,2,,,,,,1,1,2,2,1,1,4,7,9,4,4,2,2,1,1,1,1,,,,1,,3,2,,,,1,,,1,,,,,,,3,,,,,1,1,1,1,,,,,,,,,,,,2,,,,,,4,8,6,4,4,9,5,8,7,4,6,3,,,2,,3,1,,,1,12,7,16,17,10,20,12,21,13,14,14,2,4,7,3,4,4,1,3,5,10,,,,,,,,1,5,1,,,,,1,,,1,,,,,,,,60,,,215,200,253,216,238,228,244,252,231,224,195,114,124,96,119,118,109,417,489,481,401
Owsley,KY,37.429493,-83.719914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,
Pendleton,KY,38.690089,-84.359802,0,0,0,0,0,0,1,1,1,2,1,0,2,0,0,0,0,0,5,33,34,0,0,0,0,1,4,8,6,13,47,31,89,37,14,8,2,11,25,13,39,60,2,7,2,7,8,9,15,12,17,63,37,96,44,16,10,3,13,29,23,72,101,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,2,4,3,,1,,,,1,5,4,,,,1,1,,1,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,9,1,,1,2,,1,4,1,1,1,2,1,,2,1,,,1,,,1,1,6,,2,1,2,1,3,2,1,1,8,2,1,1,2,,,,1,1,5,7,,,1,,,1,1,1,3,1,3,1,1,2,3,,2,1,,,,,,,,,2,,2,7,2,7,8,9,15,12,17,63,37,96,44,16,10,3,12,26,30,89,115
Perry,KY,37.316071,-83.207764,0,1,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,196,192,203,184,174,124,148,308,277,38,43,67,87,51,96,50,35,36,38,37,28,300,298,369,303,288,223,240,422,392,133,146,186,218,165,217,157,146,168,145,131,105,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,3,8,6,6,1,1,2,1,,1,1,,,,1,,16,8,6,1,1,3,1,1,6,2,,4,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,13,25,35,27,16,16,16,27,25,24,19,25,16,19,21,11,18,35,17,11,12,67,70,112,84,93,76,64,76,70,64,79,81,108,92,97,92,92,101,87,75,59,1,,,,,,,8,2,9,3,4,1,1,4,8,4,4,7,6,2,1,1,,,1,1,2,300,298,369,303,288,223,240,422,392,133,146,186,218,165,217,155,146,172,144,125,101
Pike,KY,37.484209,-82.475276,0,4,2,1,5,2,2,1,0,5,0,0,2,2,1,0,1,0,5,145,12,392,439,709,861,964,137,22,37,19,34,33,28,33,3,8,1,13,0,3,2,2,478,536,844,974,1057,226,84,105,88,123,115,91,84,82,81,50,75,76,110,91,54,,,,,,,,,,,,,,,,,3,,,,,2,2,2,,2,4,,4,1,2,1,2,,1,1,,3,,2,1,,2,1,,1,1,1,5,,,2,2,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,8,17,19,20,14,10,8,5,11,11,9,5,4,6,5,7,6,17,18,15,7,72,71,109,88,71,72,47,56,53,63,65,52,46,70,64,41,53,59,84,66,36,,,,,1,,,2,2,3,3,,,,1,4,6,5,4,,,1,1,,,,,6,478,536,844,974,1057,226,84,105,88,123,115,91,85,82,81,50,79,76,113,230,63
Powell,KY,37.838065,-83.826088,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,4,4,3,5,2,4,2,0,2,1,3,0,7,8,4,1,0,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,,1,,,1,,,,3,1,1,,,,,,2,2,1,1,4,1,1,,,1,,,,1,2,3,1,,1,,,,,,,,1,1,3,1,1,1,1,,2,,,,,3,,2,1,,,,,,3,5,4,4,3,5,2,4,2,,2,1,3,,6,7,4,1,,1,1
Pulaski,KY,37.085351,-84.522219,83,57,67,60,66,61,36,17,9,16,13,12,35,13,68,40,44,48,90,49,10,383,372,404,539,525,529,653,561,519,408,514,404,409,420,399,303,325,319,249,245,327,558,532,601,761,781,788,919,738,728,636,764,669,671,657,614,549,621,616,538,445,408,,,,,,1,,,,,,,,,,,,1,,,1,,1,,2,1,1,4,2,2,2,5,8,1,1,,8,1,,,16,3,,,1,1,3,3,8,,2,5,5,1,,,1,,,,1,,,2,,,,,2,,,,,,,,,,,,,,,,11,21,31,29,35,30,33,15,30,27,21,28,25,21,23,26,34,29,32,24,8,78,80,96,131,149,156,179,141,162,176,200,208,199,202,172,188,224,225,239,140,56,,1,,,1,,,1,3,2,,3,6,6,2,4,3,6,8,3,,4,1,,,1,1,,558,534,601,762,782,789,919,738,728,637,764,669,672,657,667,567,628,622,613,475,405
Robertson,KY,38.522434,-84.037889,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,2,,,1,,1,,,,,,,,
Rockcastle,KY,37.374307,-84.312126,65,64,74,64,59,49,36,40,30,21,27,14,17,19,16,27,214,10,14,14,57,529,590,754,806,909,1005,854,1077,1006,1056,1215,1258,1430,1386,1247,1491,1306,1281,1007,831,844,637,704,875,933,1053,1091,933,1162,1084,1117,1280,1307,1493,1468,1318,1558,1364,1351,1080,874,908,2,1,3,2,1,,1,,,,,,,,,1,,1,,,,9,5,7,5,7,4,7,7,4,5,4,1,1,4,4,6,2,5,,,1,5,,2,,1,,2,,1,,,,,,,,,,,,,1,1,1,,3,3,,,,,1,,,,,1,,,,,,3,3,1,7,2,4,5,5,6,7,1,2,3,5,2,6,8,13,7,6,6,17,29,24,39,59,21,19,27,33,22,29,32,39,52,47,41,37,51,56,36,53,2,,,,,,,12,14,13,10,14,5,10,6,6,6,3,,3,2,4,8,7,10,3,2,5,643,707,879,933,1055,1091,934,1162,1086,1117,1280,1307,1493,1468,1322,1581,1574,1371,1087,889,966
Rowan,KY,38.177068,-83.464355,45,32,31,16,14,27,22,20,14,16,8,11,15,12,67,74,5,1,11,3,2,458,399,568,615,791,928,1275,768,818,871,919,813,1000,614,547,452,405,361,298,95,86,577,521,692,714,890,1063,1419,845,875,947,979,859,1078,706,640,540,509,432,365,137,112,,3,,1,9,5,3,5,2,6,2,3,2,1,2,4,3,,,,3,4,2,3,5,3,13,9,2,9,3,2,2,,,,2,,,1,5,,6,4,1,,2,,4,,1,,1,1,1,1,,,,,,,,,4,,,1,6,4,2,,1,,3,3,,2,1,3,6,2,4,1,12,16,15,22,9,8,12,7,3,4,7,3,12,18,25,17,15,17,8,,1,56,57,67,54,57,74,86,39,25,46,39,23,43,54,55,49,74,45,44,22,15,,1,1,,,,,,4,8,2,4,3,4,3,4,,1,1,2,6,3,4,4,1,1,,,581,521,693,715,890,1064,1419,846,876,947,979,860,1078,706,701,604,510,431,365,129,108
Russell,KY,36.980648,-85.064907,121,132,121,103,140,95,59,44,32,41,25,15,13,14,37,73,229,119,95,120,86,187,200,286,261,283,229,250,178,182,270,253,317,320,294,288,296,234,298,181,74,93,390,441,488,479,520,399,400,310,298,397,351,451,401,377,358,371,285,341,229,117,130,,,,,,,,,,,,1,,,,,,,,,,3,,3,2,,1,2,3,3,2,3,4,1,,1,6,,1,,1,1,2,4,,1,1,,,,1,3,,,,,,,5,,,,1,7,4,2,1,2,,,2,,,,,,,,,,,,,,8,13,7,13,16,12,10,9,12,6,14,15,5,12,3,11,3,3,2,4,2,66,85,68,98,79,60,78,76,71,74,56,97,62,55,45,48,32,28,26,23,19,,,,,1,1,,,3,1,,,2,1,,,1,,2,,1,1,2,,,,,,394,441,488,479,521,399,400,312,301,397,351,451,401,377,375,436,503,449,305,223,202
Scott,KY,38.317236,-84.564147,430,385,328,277,310,199,240,207,224,185,151,128,108,90,350,464,478,539,301,383,510,1140,1278,1272,1145,1240,1364,1504,1334,1412,1330,1727,1682,1506,1261,1269,1764,1627,1328,1205,1142,1190,1964,2203,2251,2051,2195,2114,2243,1934,2090,1854,2227,2126,1935,1601,1569,2077,2094,2029,1819,1658,1536,16,19,24,36,50,27,33,44,43,37,43,31,25,17,14,14,14,16,21,10,7,2,4,9,5,14,11,17,13,48,35,43,62,14,23,16,16,10,12,11,13,10,8,10,5,10,7,2,16,7,9,4,4,4,2,3,3,3,3,,1,1,7,9,6,7,3,5,3,,,,1,,,1,1,1,,,24,13,1,,84,118,124,144,136,123,113,81,100,70,58,37,51,55,37,43,74,82,80,58,38,262,364,464,403,411,363,308,218,240,180,186,154,173,121,146,211,345,483,420,314,211,6,20,27,28,18,78,5,19,26,21,30,26,23,19,32,21,15,17,29,54,30,50,18,11,7,15,4,9,1970,2210,2254,2053,2199,2115,2250,1936,2097,1858,2229,2127,1935,1602,1893,2553,2589,2519,2085,2003,1987
Shelby,KY,38.177808,-85.230841,116,179,97,89,120,122,88,71,37,33,26,27,26,47,89,486,527,76,129,475,582,479,424,506,553,628,776,546,539,460,508,664,728,1140,1370,1183,1678,1351,1307,1092,625,196,744,723,755,824,895,1045,763,720,616,686,763,906,1269,1556,1393,1441,1548,1306,1156,820,397,5,8,3,2,5,4,5,4,2,2,1,2,6,3,3,8,7,14,10,8,14,7,10,9,5,4,5,3,4,8,3,5,2,7,3,14,3,6,8,10,16,15,33,13,17,18,22,13,10,7,2,5,3,5,1,8,,,5,8,,3,3,15,9,5,10,5,6,6,,3,1,,,,1,,,,1,1,,2,9,13,23,30,14,11,10,12,14,17,9,7,1,7,9,8,16,14,11,8,1,70,61,93,98,73,87,76,58,82,113,55,37,9,10,33,63,162,149,135,72,7,,,,1,,,,11,8,4,19,24,22,20,25,8,5,,98,80,113,106,67,44,33,46,26,7,745,725,757,824,895,1046,764,720,616,687,763,906,1270,1562,1438,2313,2118,1611,1434,1233,827
Simpson,KY,36.777201,-86.620794,0,0,0,1,3,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,47,1,0,0,0,0,0,2,3,0,0,0,0,2,0,2,3,0,0,3,7,61,2,1,1,9,17,22,6,5,0,0,0,4,2,0,3,2,9,2,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,1,,9,24,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,61,2,1,1,12,25,22,9,5,,,,4,2,,2,4,,,3,7
Spencer,KY,38.012317,-85.313622,88,67,65,75,52,56,38,36,26,31,33,25,36,50,33,136,146,31,22,10,19,178,236,249,327,366,458,533,602,306,97,100,93,70,42,49,5,12,41,16,4,0,310,363,387,484,501,586,627,727,371,146,141,127,113,95,84,39,39,73,42,12,13,,1,4,,,2,,4,,,1,,,,,2,,1,1,,,5,2,3,1,3,6,4,6,9,9,2,4,4,1,1,,,1,,,,1,,1,1,,,,,,,,1,,1,,,,,,,,12,11,16,13,13,17,5,4,8,6,3,2,1,,,3,1,,,,,2,3,2,11,8,5,7,8,4,,,,,1,,,,,,,,28,42,48,58,60,42,40,68,17,1,2,2,1,,2,4,3,2,4,2,2,,,,1,,,1,1,2,2,,1,,,1,,3,,,1,,,3,,1,,,1,315,364,390,486,503,586,627,729,371,147,143,127,113,95,85,153,162,78,43,16,23
Taylor,KY,37.332884,-85.313622,18,25,40,28,29,41,41,30,23,10,12,15,19,9,295,120,70,15,83,40,98,198,315,228,58,13,14,33,18,11,29,19,28,19,7,23,103,281,60,40,43,56,237,375,305,128,54,60,81,57,37,46,34,46,41,29,80,98,195,96,93,95,93,2,,3,2,,,,,,3,3,1,3,3,1,,2,,1,,,,,,,1,,,2,1,3,,1,,1,11,1,6,1,53,10,6,1,,,1,,1,3,,2,,,,,,,,3,,,1,,8,5,8,5,2,2,3,2,,,,,,,,,,,,3,,3,5,3,5,1,,,,,,,1,,1,1,1,4,2,,2,,7,26,19,27,10,2,,3,,,,,,7,29,18,15,16,19,19,11,,,,2,,1,,2,,6,2,,,1,2,1,1,,,,1,,2,,,,,,239,376,307,128,56,60,81,57,38,46,34,46,41,29,360,245,381,96,196,119,171
Todd,KY,36.833864,-87.14229,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,38,26,19,14,7,33,28,24,10,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,36,24,25,13,10,37,29,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,26,14,10,37,30,28,12,,,,,,,1,1,,,,
Trigg,KY,36.847364,-87.776333,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,33,29,21,6,10,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,39,39,22,6,12,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,25,39,42,27,6,12,12,1,,,,1,,,,,,,,,
Trimble,KY,38.601328,-85.313622,0,0,0,3,2,5,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,12,20,48,66,91,92,68,35,44,26,15,29,17,8,4,1,12,11,0,1,1,20,27,56,76,106,98,76,45,46,34,18,31,21,8,6,5,20,12,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,,1,,,,,,,,,,,,4,5,3,9,8,5,5,8,2,5,3,1,3,,,3,5,1,,,,,,,,,1,,1,,,,2,,,,,,,,,,,,,,,1,1,20,27,56,76,106,98,76,45,46,34,18,31,20,8,4,4,17,12
Union,KY,37.663874,-87.972681,8,0,0,9,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,33,68,2,0,1,1,0,,1,9,7,4,0,1,0,0,0,0,57,25,21,67,134,18,16,6,3,1,2,3,9,9,5,2,25,0,10,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,57,20,20,20,20,4,9,5,2,1,2,2,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,6,7,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,6,,,,,,,,,,,,,,,65,28,25,70,135,18,16,6,3,1,2,3,9,9,4,,1,,,,
Warren,KY,36.988604,-86.499655,31,15,24,14,25,4,0,1,0,0,1,0,3,6,5,31,127,0,0,0,0,524,930,921,160,133,116,71,90,19,33,35,34,27,23,1356,4160,5453,3024,9,24,4,562,952,948,174,163,122,79,91,19,34,36,39,31,68,109,32,37,78,6,22,4,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,4,3,3,,2,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,4,,,2,1,,,,,,,,,,,,,,,,,3,10,,,,,,,1,,,,,,,,,5,1,39,3,3,8,1,,,,563,953,949,174,163,122,79,91,19,34,36,39,31,68,1364,4197,5598,3025,9,24,4
Washington,KY,37.751614,-85.147936,77,99,87,94,72,64,63,58,65,59,38,38,34,21,14,8,15,23,16,214,59,65,85,84,99,156,91,110,128,157,157,213,143,99,51,68,60,35,40,30,49,36,172,211,210,230,253,168,175,206,255,252,293,221,183,107,128,115,93,104,70,100,87,,,3,,,,,,,,,1,3,2,2,,,,2,3,1,,,1,1,,4,,,1,,,,,1,,,,1,1,,,,,3,,,,,,,,,,1,,,,,,,,,,,2,,,3,,,,,2,,2,,,,1,1,,,,4,5,7,5,2,,1,5,6,2,9,3,4,4,3,4,3,4,4,4,3,25,25,24,28,20,2,3,16,23,32,30,24,23,24,24,30,24,19,15,17,19,,,,,,,,3,1,3,6,3,4,2,3,4,5,2,13,17,4,18,9,12,,,,2,174,215,214,233,253,168,179,210,256,255,294,222,183,107,129,111,90,88,68,287,120
Wayne,KY,36.757191,-84.856793,7,2,3,3,4,0,2,0,1,0,0,0,6,1,0,1,0,0,0,0,0,27,57,57,40,77,128,37,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1047,1023,944,833,856,516,343,387,750,763,874,837,879,939,599,7,7,9,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1007,958,883,788,771,381,302,387,744,760,868,837,873,938,593,,,,,,,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,2,4,1,1,,,3,,1,1,3,5,2,,4,3,1,,,,6,2,3,1,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1047,1023,946,833,856,516,343,387,750,763,874,837,879,939,599,5,7,2,5,,
