metro,state,LAT,LON,BOV_1995,BOV_1996,BOV_1997,BOV_1998,BOV_1999,BOV_2000,BOV_2001,BOV_2002,BOV_2003,BOV_2004,BOV_2005,BOV_2006,BOV_2007,BOV_2008,BOV_2009,BOV_2010,BOV_2011,BOV_2012,BOV_2013,BOV_2014,BOV_2015,EQ_1995,EQ_1996,EQ_1997,EQ_1998,EQ_1999,EQ_2000,EQ_2001,EQ_2002,EQ_2003,EQ_2004,EQ_2005,EQ_2006,EQ_2007,EQ_2008,EQ_2009,EQ_2010,EQ_2011,EQ_2012,EQ_2013,EQ_2014,EQ_2015,ACC_1995,ACC_1996,ACC_1997,ACC_1998,ACC_1999,ACC_2000,ACC_2001,ACC_2002,ACC_2003,ACC_2004,ACC_2005,ACC_2006,ACC_2007,ACC_2008,ACC_2009,ACC_2010,ACC_2011,ACC_2012,ACC_2013,ACC_2014,ACC_2015,OV_1995,OV_1996,OV_1997,OV_1998,OV_1999,OV_2000,OV_2001,OV_2002,OV_2003,OV_2004,OV_2005,OV_2006,OV_2007,OV_2008,OV_2009,OV_2010,OV_2011,OV_2012,OV_2013,OV_2014,OV_2015,CAP_1995,CAP_1996,CAP_1997,CAP_1998,CAP_1999,CAP_2000,CAP_2001,CAP_2002,CAP_2003,CAP_2004,CAP_2005,CAP_2006,CAP_2007,CAP_2008,CAP_2009,CAP_2010,CAP_2011,CAP_2012,CAP_2013,CAP_2014,CAP_2015,AV_1995,AV_1996,AV_1997,AV_1998,AV_1999,AV_2000,AV_2001,AV_2002,AV_2003,AV_2004,AV_2005,AV_2006,AV_2007,AV_2008,AV_2009,AV_2010,AV_2011,AV_2012,AV_2013,AV_2014,AV_2015,POR_1995,POR_1996,POR_1997,POR_1998,POR_1999,POR_2000,POR_2001,POR_2002,POR_2003,POR_2004,POR_2005,POR_2006,POR_2007,POR_2008,POR_2009,POR_2010,POR_2011,POR_2012,POR_2013,POR_2014,POR_2015,FEL_1995,FEL_1996,FEL_1997,FEL_1998,FEL_1999,FEL_2000,FEL_2001,FEL_2002,FEL_2003,FEL_2004,FEL_2005,FEL_2006,FEL_2007,FEL_2008,FEL_2009,FEL_2010,FEL_2011,FEL_2012,FEL_2013,FEL_2014,FEL_2015,CAN_1995,CAN_1996,CAN_1997,CAN_1998,CAN_1999,CAN_2000,CAN_2001,CAN_2002,CAN_2003,CAN_2004,CAN_2005,CAN_2006,CAN_2007,CAN_2008,CAN_2009,CAN_2010,CAN_2011,CAN_2012,CAN_2013,CAN_2014,CAN_2015,WIL_2009,WIL_2010,WIL_2011,WIL_2012,WIL_2013,WIL_2014,WIL_2015,MIS_1995,MIS_1996,MIS_1997,MIS_1998,MIS_1999,MIS_2000,MIS_2001,MIS_2002,MIS_2003,MIS_2004,MIS_2005,MIS_2006,MIS_2007,MIS_2008,MIS_2009,MIS_2010,MIS_2011,MIS_2012,MIS_2013,MIS_2014,MIS_2015,TOT_1995,TOT_1996,TOT_1997,TOT_1998,TOT_1999,TOT_2000,TOT_2001,TOT_2002,TOT_2003,TOT_2004,TOT_2005,TOT_2006,TOT_2007,TOT_2008,TOT_2009,TOT_2010,TOT_2011,TOT_2012,TOT_2013,TOT_2014,TOT_2015
Madison,KY,37.7143,-84.312126,125,130,108,86,98,64,64,67,62,70,45,40,40,38,73,106,30,39,176,114,52,766,779,814,739,763,667,402,214,487,652,547,503,528,424,448,506,533,447,462,517,167,1254,1317,1403,1329,1393,1097,770,505,704,848,716,755,703,604,588,673,693,653,676,726,351,6,2,12,9,7,6,3,8,4,4,6,1,1,,,1,,,,,,6,3,4,,5,7,7,34,21,13,9,8,6,12,6,4,1,15,4,8,11,3,,1,3,5,5,8,2,2,2,1,2,,1,1,,,4,1,,2,4,6,7,8,4,4,7,10,6,9,3,7,2,,2,2,1,2,3,2,,70,86,86,99,129,70,56,38,29,31,30,29,23,22,28,23,32,32,39,26,19,255,294,350,363,361,262,204,122,89,67,66,124,85,76,52,95,97,125,126,120,106,,2,,1,,,1,23,18,24,23,21,14,20,11,4,5,8,41,18,31,11,8,2,,4,4,1,1258,1318,1407,1330,1393,1099,771,506,704,853,716,755,703,604,621,747,696,665,815,791,359
Magoffin,KY,37.730555,-83.036138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,
Marion,KY,37.585137,-85.230841,172,192,192,203,146,124,107,114,89,85,71,76,64,52,49,87,60,49,46,63,78,404,466,536,600,426,227,250,298,233,231,246,214,188,153,136,105,128,163,125,140,158,609,731,817,883,647,394,403,467,401,359,356,320,287,245,200,166,178,237,195,217,231,1,,,1,,,,,2,,,,1,,,,1,,1,,,,,1,,,,3,5,8,3,1,1,1,2,,,1,,,,3,3,1,3,4,4,,3,3,1,,,,,,,,,,,,,1,7,4,4,,3,2,1,4,,1,,,,,,1,,,10,1,5,9,16,8,12,7,8,7,12,8,3,10,3,1,3,1,2,3,3,3,,28,52,59,58,54,32,30,38,53,31,31,19,27,35,27,25,18,20,27,34,33,,,,,,,,,4,7,6,5,1,1,1,,2,3,,3,2,2,3,4,,,,1,614,731,818,884,647,394,404,467,402,360,356,320,287,245,217,221,215,235,202,250,274
Marshall,KY,36.857377,-88.401604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,205,215,42,45,54,0,0,0,0,0,1,10,5,6,3,11,7,14,9,5,243,205,215,42,45,54,0,0,0,0,0,1,10,5,6,3,11,9,14,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,205,215,42,45,54,,,,,,1,10,5,6,3,11,7,14,9,5
Martin,KY,37.783376,-82.518584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Mason,KY,38.61941,-83.889706,83,73,89,55,42,37,23,16,11,2,2,13,21,54,9,1,0,0,1,76,2,148,132,84,102,98,94,82,87,102,86,88,107,59,37,38,36,22,20,24,20,13,263,258,224,218,184,180,140,128,151,108,111,138,95,99,55,48,32,34,33,31,18,,,,,1,,,,,,,,,1,,,,,1,,,,1,,1,1,2,,1,,,,,1,,,,,,,,,,4,5,1,2,,,,,,,,,,,,,,,,,27,38,26,16,6,4,4,,,,,,,,,,1,,,,,1,2,7,9,4,13,4,2,4,3,6,4,3,1,2,1,2,1,1,,,8,11,13,35,28,30,26,18,33,17,15,14,11,6,9,10,3,,2,,,,,,,,,,1,,3,1,2,,1,4,1,,,,,,,,,,,,,268,261,227,220,184,180,140,128,151,108,111,138,95,99,58,48,28,21,29,96,15
Meade,KY,37.96015,-86.21585,53,56,40,36,45,9,11,7,9,3,7,3,14,1,3,0,3,18,0,2,19,72,75,145,220,238,224,207,214,216,131,93,56,51,29,2,0,6,808,0,0,1,196,201,258,342,360,287,257,240,238,140,102,61,66,31,10,1,10,19,0,4,8,,,,2,,1,,,,1,,1,1,,,,,,,,2,,1,1,,,1,1,,,,1,,,,,,2,3,,,10,,3,,1,1,,,,,,,,,1,1,,,,,,,25,35,22,18,6,6,5,1,2,1,,,,,,,,,,,,7,12,12,8,10,8,7,4,,2,1,1,,,1,,,,,,,39,21,42,58,58,37,26,11,11,1,,,,,3,,1,,,2,1,,,,,,,,1,,1,1,2,1,,3,,1,,,,,,,,,,,,197,203,263,344,360,287,257,240,238,140,102,61,66,31,10,,12,829,,4,33
Menifee,KY,37.933537,-83.634843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,3,3,7,,1,,,,,1,,,,,,,,,,,
Mercer,KY,37.82586,-84.898478,84,79,105,64,53,69,25,41,21,22,14,28,27,21,7,14,9,3,10,7,25,317,289,241,263,248,228,21,19,9,2,4,5,3,0,7,1,1,5,3,0,1,519,485,443,458,417,420,121,104,73,77,48,60,60,35,41,42,45,58,64,46,37,1,4,,,,,1,,,1,,,4,,4,,,,,2,1,1,3,2,9,8,10,,2,8,6,1,3,1,,,,,,2,2,6,5,4,6,1,,1,1,2,3,1,,,,,1,,,,,,,4,3,6,2,2,3,,,1,,,,,,,,,,1,,,19,15,14,26,13,21,12,3,2,5,2,4,5,1,,2,,1,4,2,1,89,85,71,91,91,87,60,36,28,37,26,21,18,10,20,23,37,31,42,33,17,,1,,,,,,3,3,2,2,3,1,1,2,1,2,1,,2,3,,,,,1,1,,523,485,447,458,418,420,121,105,73,77,48,61,60,35,39,41,47,40,63,47,51
Metcalfe,KY,37.003244,-85.643487,1,0,0,0,1,0,0,0,0,0,0,1,10,2,0,0,0,0,0,0,0,316,326,255,241,181,0,0,113,0,0,1,0,0,0,0,1,0,2,3,0,4,317,326,259,242,182,0,1,113,0,0,1,2,10,2,0,1,1,11,3,1,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,317,326,260,242,182,,1,113,,,1,2,10,2,,1,,2,3,,4
Monroe,KY,36.748492,-85.725637,2,0,0,0,0,1,3,0,0,0,0,0,6,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,2,2,5,0,0,1,4,0,0,1,0,0,10,75,2,0,2,6,0,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,2,3,6,,,1,4,,,1,,,10,75,2,,,,,,
